"k","h","n_alerts_ward3","detection_delay","false_alarms","detected"
0.2,2,12,12,6,TRUE
0.3,2,6,55,1,TRUE
0.5,2,1,203,0,TRUE
0.7,2,0,NA,0,FALSE
0.9,2,0,NA,0,FALSE
0.2,2.5,9,17,3,TRUE
0.3,2.5,5,65,0,TRUE
0.5,2.5,0,NA,0,FALSE
0.7,2.5,0,NA,0,FALSE
0.9,2.5,0,NA,0,FALSE
0.2,3,7,55,1,TRUE
0.3,3,3,69,0,TRUE
0.5,3,0,NA,0,FALSE
0.7,3,0,NA,0,FALSE
0.9,3,0,NA,0,FALSE
0.2,3.5,6,59,0,TRUE
0.3,3.5,2,69,0,TRUE
0.5,3.5,0,NA,0,FALSE
0.7,3.5,0,NA,0,FALSE
0.9,3.5,0,NA,0,FALSE
0.2,4,4,64,0,TRUE
0.3,4,2,84,0,TRUE
0.5,4,0,NA,0,FALSE
0.7,4,0,NA,0,FALSE
0.9,4,0,NA,0,FALSE
0.2,5,3,68,0,TRUE
0.3,5,1,207,0,TRUE
0.5,5,0,NA,0,FALSE
0.7,5,0,NA,0,FALSE
0.9,5,0,NA,0,FALSE
0.2,6,3,69,0,TRUE
0.3,6,0,NA,0,FALSE
0.5,6,0,NA,0,FALSE
0.7,6,0,NA,0,FALSE
0.9,6,0,NA,0,FALSE
